image_no,category,our_evaluation,radiologist_evaluation
1,0,0,0
2,2,-1,-1
3,0,1,1
4,0,1,0
5,0,1,1
6,0,1,1
7,0,0,0
8,0,0,0
9,0,1,1
10,2,1,1
11,0,1,1
12,0,1,1
13,0,1,1
14,0,1,1
15,0,1,1
16,0,1,1
17,1,-1,0
18,1,1,1
19,0,1,1
20,0,1,1
21,0,1,1
22,0,0,0
23,0,1,1
24,0,1,1
25,1,0,0
26,0,1,1
27,1,0,0
28,0,1,1
29,0,1,1
30,0,0,0
31,0,1,1
32,2,1,1
33,3,1,1
34,0,1,1
35,0,0,0
36,0,1,1
37,0,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,0,1,1
42,0,0,1
43,0,1,1
44,0,1,1
45,0,1,1
46,0,0,0
47,0,0,0
48,1,1,1
49,0,1,0
50,1,0,0
51,1,0,0
52,0,1,1
53,4,0,0
54,4,0,0
55,0,0,0
56,0,0,0
57,1,1,1
58,0,1,1
59,0,1,1
60,1,0,0
61,4,0,0
62,4,0,0
63,0,1,1
64,0,1,1
65,1,0,0
66,1,0,1
67,1,0,0
68,1,0,0
69,0,1,1
70,0,1,1
71,0,1,1
72,0,1,1
73,0,1,1
74,0,1,1
75,1,0,0
76,1,0,0
77,0,1,1
78,0,0,0
79,0,0,0
80,0,1,1
81,0,1,1
82,0,0,0
83,0,1,1
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,1
88,1,0,0
89,1,0,0
90,1,0,0
91,0,0,0
92,0,1,1
93,0,0,0
94,0,1,0
95,1,0,0
96,0,1,1
97,0,1,1
98,3,-1,1
99,0,1,1
100,1,0,0
101,0,0,0
102,0,0,0
103,0,1,0
104,0,1,0
105,0,1,1
106,1,0,0
107,0,1,1
108,1,0,0
109,3,-1,1
110,1,0,0
111,1,0,0
112,0,1,1
113,0,1,1
114,0,1,1
115,0,0,0
116,1,0,0
117,0,0,0
118,0,0,0
119,0,1,0
120,0,0,0
121,0,1,1
122,0,0,0
123,1,0,0
124,1,0,0
125,1,0,0
126,0,1,1
127,0,1,1
128,0,1,1
129,0,1,1
130,0,1,1
131,0,1,1
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,0
137,3,-1,1
138,0,1,1
139,0,0,0
140,0,1,1
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,-1
145,0,0,0
146,1,0,0
147,4,1,1
148,4,1,1
149,0,0,0
150,0,0,0
151,2,-1,-1
152,2,-1,-1
153,0,0,0
154,3,0,0
155,2,1,1
156,1,0,0
157,0,1,1
158,3,0,0
159,0,1,1
160,0,1,1
161,1,0,0
162,0,1,1
163,0,0,0
164,0,0,0
165,1,0,0
166,0,1,1
167,0,0,0
168,0,1,1
169,0,0,0
170,0,1,1
171,0,0,0
172,0,0,0
173,0,1,1
174,0,1,1
175,1,0,0
176,0,1,1
177,0,1,1
178,0,0,0
179,4,0,0
180,0,1,1
181,0,0,0
182,0,1,1
183,1,0,0
184,1,0,0
185,1,0,0
186,1,0,0
187,0,0,0
188,0,0,0
189,0,0,1
190,1,0,0
191,1,0,0
192,0,1,1
193,1,0,0
194,1,0,-1
195,0,1,1
196,0,0,0
197,0,1,1
198,0,1,0
199,0,0,0
200,1,0,0
201,0,0,0
202,0,1,1
203,0,1,1
204,0,1,1
205,0,0,0
206,0,0,0
207,0,1,1
208,1,0,0
209,1,0,0
210,0,0,0
211,1,0,0
212,1,0,0
213,1,0,-1
214,1,0,-1
215,0,0,0
216,0,0,0
217,0,1,1
218,2,-1,1
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,1,0,-1
224,1,0,-1
225,0,0,0
226,0,0,0
227,1,0,-1
228,1,0,0
229,0,1,1
230,1,0,0
231,1,0,0
232,0,1,1
233,0,0,0
234,0,1,1
235,0,0,0
236,3,1,1
237,0,1,1
238,1,0,0
239,1,0,1
240,1,0,0
241,0,0,0
242,1,0,0
243,0,1,1
244,1,0,0
245,1,0,0
246,1,0,0
247,0,1,1
248,0,0,0
249,1,0,0
250,1,0,0
251,1,0,0
252,0,0,0
253,0,1,1
254,0,1,1
255,0,1,1
256,0,1,1
257,0,0,0
258,0,0,0
259,1,0,0
260,1,0,0
261,0,0,0
262,0,0,0
263,1,0,-1
264,1,0,-1
265,0,1,1
266,0,1,1
267,0,0,0
268,0,1,1
269,2,-1,-1
270,0,0,1
271,0,1,1
272,1,0,0
273,0,0,0
274,0,0,0
275,1,0,0
276,1,0,0
277,0,0,0
278,1,0,0
279,1,0,0
280,0,0,0
281,0,1,1
282,0,0,0
283,2,-1,-1
284,0,1,1
285,1,0,0
286,1,0,-1
287,2,-1,-1
288,4,0,0
289,2,-1,-1
290,0,0,0
291,0,1,1
292,0,0,0
293,1,0,0
294,1,0,0
295,0,0,0
296,0,0,0
297,1,0,0
298,0,0,0
299,0,1,1
300,0,1,1
301,2,1,1
302,0,0,0
303,0,0,1
304,0,1,1
305,2,1,-1
306,1,0,0
307,0,0,0
308,0,0,0
309,0,1,1
310,0,1,1
311,0,1,1
312,0,1,1
313,3,1,1
314,0,0,0
315,2,-1,0
316,1,0,0
317,0,1,1
318,0,0,0
319,0,1,1
320,0,1,1
321,0,1,1
322,0,0,0
